placement_type,operation,runtime_seconds,operation_nodes,contacted_nodes,available_nodes,fragment_count,stretch,jump
tuple_ilp,SELECT,0.02316779998363927,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.022897299990290776,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.05732950000674464,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.022504799999296665,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.02656820000265725,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021430699998745695,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.021812699997099116,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.05705549998674542,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.0325377999979537,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.026073700020788237,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020285400009015575,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.022169800009578466,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.056840900011593476,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.02011859999038279,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.027690800023265183,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.022159699990879744,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.022172800003318116,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.05604709999170154,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021066000015707687,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.026853500021388754,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020540099998470396,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.022976399981416762,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.056315200024982914,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020226299995556474,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.026266200002282858,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.03322620000108145,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.02174559998093173,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.055485199991380796,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020701900008134544,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.026343499979702756,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021712099987780675,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.022734400001354516,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.055820100009441376,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020897700014756992,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.025546700024278834,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021909700008109212,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.023192099994048476,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.06023629999253899,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021324400004232302,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.026891500019701198,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021089799993205816,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.02210859998012893,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.05624429997988045,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.03416159999324009,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.02594569997745566,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.02138269998249598,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.024337600014405325,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.0562385999946855,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020978400018066168,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.025652000011177734,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021931499999482185,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.025110499991569668,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.059057300008134916,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020824599982006475,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.025347799994051456,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021745899983216077,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.022711099998559803,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.055999400006840006,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020468400005484,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.027237500005867332,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.0347343000175897,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.02368049998767674,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.05791050000698306,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.020598399976734072,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.025065399997401983,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.022068100020987913,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.02282869999180548,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.057029299990972504,3,"node_1,node_2,node_3",,,1.0,1
conflict_locality_ilp,SELECT,0.02116399999999885,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.03165269999999509,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.020563499999980195,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.02234669999995731,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.06042739999998048,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.020427000000040607,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.03025589999992917,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.020043399999963185,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.023034199999983684,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.055906400000026224,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02144670000006954,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.02861880000000383,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.021334999999908177,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.0227701999999681,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.056724800000097275,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.022025399999961337,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.027684099999987666,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.021111000000018976,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.02260409999996682,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.05808020000006309,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.021601999999916188,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.02710890000003019,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.0317529999999806,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.0226854000000003,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.059699600000044484,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.020694899999966765,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.027308699999935016,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.022102799999970557,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.022862600000053135,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.057347100000015416,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.021198999999910484,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.026837399999976697,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.020426400000019385,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.022605699999985518,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.06187379999994391,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02426819999993768,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.02629479999995965,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.022711599999979626,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.023686100000077204,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.056333900000026915,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.03191989999993439,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.025860500000021602,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.01999749999993128,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.024199800000019422,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.059143100000028426,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02258560000007037,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.027550399999995534,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02208199999995486,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.023573399999918365,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.0587650999999596,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.022535299999958625,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.02898630000004232,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02327920000004724,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.023289200000021992,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.058407499999930224,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.023531800000000658,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.02818969999998444,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.03618419999997968,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.027074399999946763,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.10885380000001987,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02098829999999907,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.027433400000063557,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.025581999999985783,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.02344719999996414,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.05723390000002837,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.022089100000016515,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.02761950000001434,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.021789399999988746,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.022577599999976883,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.05624050000005809,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02123770000002878,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.026257900000018708,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02091100000006918,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.022372200000063458,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.056819500000074186,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.03464680000001863,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.026944999999955144,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02077529999996841,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.02268909999997959,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.055838699999981145,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.020992800000044554,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.026809399999933703,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02160870000000159,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.023427999999967142,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.06180010000002767,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02336280000008628,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.028698599999984253,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.022064600000021528,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.02354760000002898,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.05984560000001693,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02203780000002098,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.0270736999999599,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.03427379999993718,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.022637899999949695,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.06059779999998227,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.02208470000005036,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,INSERT,0.026148699999907876,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,SELECT,0.0219648000000916,1,node_7,3.0,3.0,1.0,1
conflict_locality_ilp,UPDATE,0.022926800000050207,3,"node_7,node_8,node_9",,,1.0,1
conflict_locality_ilp,DELETE,0.06232160000001841,3,"node_7,node_8,node_9",,,1.0,1
