placement_type,operation,runtime_seconds,operation_nodes,available_nodes,fragment_count
conflict_locality_ilp,SELECT,0.019403799902647734,1,3.0,3.0
conflict_locality_ilp,INSERT,0.023550800047814846,1,,
conflict_locality_ilp,SELECT,0.019775399938225746,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.013953899964690208,1,,
conflict_locality_ilp,DELETE,0.03320110007189214,1,,
conflict_locality_ilp,SELECT,0.019559400039725006,1,3.0,3.0
conflict_locality_ilp,INSERT,0.02195129997562617,1,,
conflict_locality_ilp,SELECT,0.01798390003386885,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.014256300055421889,1,,
conflict_locality_ilp,DELETE,0.03097419999539852,1,,
conflict_locality_ilp,SELECT,0.026577700045891106,1,3.0,3.0
conflict_locality_ilp,INSERT,0.02231889998074621,1,,
conflict_locality_ilp,SELECT,0.016852300032041967,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.014002199983224273,1,,
conflict_locality_ilp,DELETE,0.030397700029425323,1,,
conflict_locality_ilp,SELECT,0.018972199992276728,1,3.0,3.0
conflict_locality_ilp,INSERT,0.021487299934960902,1,,
conflict_locality_ilp,SELECT,0.01712460000999272,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.01446950004901737,1,,
conflict_locality_ilp,DELETE,0.030951199936680496,1,,
