descriptor_ui,replication_count,nodes
D000368,3,"node_1,node_2,node_8"
D000369,3,"node_1,node_2,node_8"
D000370,4,"node_1,node_6,node_7,node_8"
D000371,3,"node_1,node_7,node_8"
D000372,4,"node_1,node_2,node_6,node_8"
D000373,3,"node_2,node_6,node_7"
D000374,3,"node_1,node_5,node_8"
D000375,3,"node_1,node_6,node_8"
D000376,3,"node_2,node_7,node_8"
D000377,5,"node_1,node_5,node_6,node_7,node_8"
D000378,3,"node_1,node_5,node_8"
D000379,3,"node_1,node_10,node_5"
D000380,3,"node_1,node_10,node_6"
D000381,6,"node_1,node_10,node_2,node_6,node_7,node_8"
D000382,3,"node_1,node_7,node_8"
D000383,3,"node_10,node_2,node_8"
D000385,3,"node_10,node_6,node_7"
D000386,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000387,3,"node_1,node_10,node_2"
D000388,4,"node_1,node_5,node_7,node_8"
D000389,3,"node_5,node_7,node_8"
D000390,5,"node_1,node_5,node_6,node_7,node_8"
D000391,3,"node_5,node_7,node_8"
D000392,4,"node_1,node_5,node_7,node_8"
D000393,3,"node_1,node_2,node_6"
D000395,3,"node_1,node_2,node_6"
D000396,4,"node_1,node_2,node_5,node_6"
D000397,3,"node_5,node_7,node_8"
D000398,3,"node_5,node_7,node_8"
D000399,4,"node_1,node_5,node_7,node_8"
D000400,3,"node_1,node_10,node_8"
D000401,3,"node_10,node_2,node_8"
D000402,3,"node_1,node_10,node_6"
D000403,5,"node_1,node_2,node_5,node_6,node_8"
D000404,4,"node_1,node_2,node_7,node_8"
D000405,3,"node_1,node_5,node_8"
D000406,3,"node_10,node_2,node_6"
D000407,3,"node_2,node_5,node_7"
D000408,4,"node_1,node_2,node_6,node_7"
D000409,3,"node_2,node_6,node_7"
D000410,3,"node_2,node_5,node_7"
D000411,3,"node_2,node_5,node_7"
D000412,3,"node_2,node_5,node_7"
D000413,3,"node_2,node_5,node_7"
D000415,3,"node_2,node_6,node_7"
D000416,3,"node_2,node_5,node_7"
D000417,5,"node_1,node_10,node_2,node_6,node_8"
D000418,3,"node_2,node_6,node_7"
D000419,5,"node_1,node_2,node_6,node_7,node_8"
D000420,3,"node_2,node_5,node_8"
D000421,4,"node_10,node_2,node_6,node_7"
D000422,3,"node_10,node_6,node_8"
D000423,3,"node_1,node_2,node_8"
D000425,5,"node_1,node_10,node_2,node_6,node_8"
D000426,3,"node_2,node_5,node_7"
D000427,3,"node_2,node_6,node_7"
D000428,3,"node_1,node_5,node_8"
D000429,3,"node_2,node_5,node_7"
D000430,5,"node_1,node_10,node_2,node_6,node_8"
D000431,3,"node_2,node_5,node_8"
D000432,3,"node_2,node_5,node_8"
D000433,3,"node_2,node_5,node_8"
D000434,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000435,4,"node_1,node_10,node_2,node_6"
D000436,3,"node_10,node_5,node_7"
D000437,4,"node_1,node_10,node_2,node_6"
D000438,3,"node_2,node_5,node_8"
D000439,5,"node_10,node_2,node_5,node_6,node_8"
D000440,5,"node_10,node_2,node_5,node_6,node_8"
D000441,5,"node_10,node_2,node_5,node_6,node_8"
D000442,5,"node_10,node_2,node_5,node_6,node_8"
D000443,5,"node_1,node_2,node_5,node_7,node_8"
D000444,3,"node_2,node_5,node_7"
D000445,3,"node_2,node_5,node_7"
D000446,3,"node_2,node_5,node_7"
D000447,3,"node_10,node_2,node_8"
D000448,3,"node_2,node_7,node_8"
D000449,3,"node_2,node_5,node_7"
D000450,4,"node_2,node_5,node_6,node_7"
D000451,5,"node_1,node_2,node_5,node_6,node_7"
D000452,3,"node_10,node_2,node_8"
D000453,5,"node_1,node_10,node_2,node_5,node_8"
D000454,3,"node_10,node_5,node_6"
D000455,3,"node_1,node_10,node_6"
D000458,4,"node_10,node_2,node_6,node_7"
D000459,3,"node_10,node_6,node_7"
D000460,3,"node_1,node_10,node_6"
D000461,3,"node_1,node_10,node_6"
D000462,3,"node_2,node_5,node_7"
D000463,3,"node_2,node_6,node_7"
D000464,3,"node_10,node_2,node_8"
D000465,4,"node_1,node_5,node_6,node_8"
D000466,3,"node_10,node_2,node_8"
D000468,3,"node_2,node_5,node_6"
D000469,3,"node_2,node_5,node_7"
D000470,3,"node_2,node_7,node_8"
D000471,3,"node_1,node_10,node_6"
D000472,3,"node_1,node_10,node_6"
D000473,3,"node_10,node_2,node_8"
D000474,3,"node_1,node_10,node_6"
D000475,3,"node_10,node_2,node_8"
D000476,4,"node_1,node_10,node_2,node_8"
D000477,4,"node_1,node_2,node_6,node_7"
D000478,4,"node_1,node_6,node_7,node_8"
D000479,3,"node_2,node_5,node_8"
D000480,3,"node_10,node_2,node_8"
D000481,4,"node_10,node_2,node_7,node_8"
D000482,4,"node_1,node_6,node_7,node_8"
D000483,3,"node_1,node_5,node_8"
D000485,3,"node_2,node_6,node_7"
D000486,3,"node_10,node_6,node_7"
D000487,3,"node_10,node_2,node_8"
D000488,5,"node_10,node_2,node_5,node_7,node_8"
D000489,3,"node_10,node_5,node_6"
D000490,3,"node_1,node_10,node_6"
D000492,3,"node_2,node_5,node_7"
D000493,3,"node_1,node_2,node_8"
D000494,3,"node_1,node_7,node_8"
D000495,3,"node_1,node_7,node_8"
D000496,3,"node_10,node_2,node_8"
D000497,5,"node_10,node_2,node_5,node_6,node_8"
D000498,3,"node_10,node_2,node_8"
D000499,4,"node_10,node_2,node_5,node_8"
D000500,3,"node_2,node_6,node_7"
D000501,5,"node_10,node_2,node_6,node_7,node_8"
D000502,4,"node_10,node_2,node_7,node_8"
D000503,3,"node_1,node_5,node_8"
D000504,3,"node_1,node_10,node_6"
D000505,3,"node_1,node_2,node_8"
D000506,3,"node_1,node_2,node_8"
D000507,4,"node_1,node_2,node_5,node_8"
D000508,3,"node_10,node_5,node_6"
D000509,4,"node_10,node_2,node_6,node_7"
D000510,3,"node_2,node_6,node_7"
D000511,3,"node_2,node_6,node_7"
D000512,3,"node_1,node_6,node_8"
D000513,4,"node_1,node_2,node_6,node_8"
D000514,4,"node_2,node_6,node_7,node_8"
D000515,4,"node_2,node_6,node_7,node_8"
D000516,3,"node_2,node_5,node_7"
D000517,3,"node_2,node_5,node_8"
D000518,3,"node_2,node_6,node_7"
D000519,3,"node_2,node_5,node_7"
D000520,3,"node_2,node_5,node_7"
D000521,4,"node_2,node_5,node_6,node_7"
D000522,3,"node_10,node_2,node_8"
D000523,3,"node_2,node_6,node_7"
D000524,3,"node_10,node_2,node_6"
D000525,3,"node_1,node_2,node_8"
D000526,3,"node_2,node_5,node_8"
D000527,4,"node_10,node_2,node_6,node_7"
D000528,3,"node_10,node_5,node_6"
D000529,3,"node_1,node_5,node_8"
D000530,3,"node_2,node_6,node_7"
D000531,4,"node_1,node_5,node_7,node_8"
D000532,3,"node_1,node_10,node_6"
D000533,3,"node_1,node_5,node_8"
D000534,4,"node_10,node_2,node_6,node_7"
D000535,4,"node_2,node_5,node_6,node_7"
D000536,4,"node_10,node_2,node_5,node_6"
D000537,3,"node_10,node_2,node_6"
D000538,4,"node_10,node_2,node_6,node_8"
D000539,4,"node_1,node_2,node_5,node_7"
D000540,4,"node_1,node_10,node_2,node_6"
D000541,4,"node_1,node_10,node_2,node_6"
D000542,6,"node_1,node_10,node_2,node_5,node_7,node_8"
D000543,4,"node_1,node_10,node_2,node_6"
D000544,5,"node_1,node_10,node_5,node_7,node_8"
D000545,3,"node_10,node_5,node_6"
D000546,4,"node_1,node_2,node_6,node_7"
D000547,3,"node_10,node_2,node_8"
D000548,5,"node_1,node_10,node_2,node_6,node_8"
D000549,3,"node_2,node_5,node_8"
D000550,6,"node_1,node_10,node_5,node_6,node_7,node_8"
D000551,3,"node_2,node_5,node_8"
