fragment_1,fragment_2,overlap_size,node_1,node_2,same_node
top_category_A,subbranch_code_A19.687,2,node_1,node_6,False
top_category_A,subbranch_code_A19.690,1,node_1,node_7,False
top_category_A,subbranch_code_A19.800,1,node_1,node_8,False
top_category_A,subbranch_code_A20,1,node_1,node_9,False
top_category_A,subbranch_code_A20.186,1,node_1,node_10,False
top_category_A,subbranch_code_A20.374,1,node_1,node_1,True
top_category_A,subbranch_code_A20.484,1,node_1,node_2,False
top_category_A,subbranch_code_A20.593,2,node_1,node_3,False
top_category_A,subbranch_code_A20.812,2,node_1,node_4,False
top_category_A,subbranch_code_A20.843,1,node_1,node_5,False
top_category_A,subbranch_code_A20.859,1,node_1,node_6,False
top_category_A,subbranch_code_A20.867,1,node_1,node_7,False
top_category_A,subbranch_code_A20.871,1,node_1,node_8,False
top_category_A,subbranch_code_A20.873,1,node_1,node_9,False
top_category_A,subbranch_code_A20.874,1,node_1,node_10,False
top_category_A,subbranch_code_A21,1,node_1,node_1,True
top_category_A,subbranch_code_A21.063,1,node_1,node_2,False
top_category_A,subbranch_code_A21.125,1,node_1,node_3,False
top_category_A,subbranch_code_A21.249,4,node_1,node_4,False
top_category_A,subbranch_code_B01.300,1,node_1,node_3,False
top_category_A,subbranch_code_B01.650,2,node_1,node_9,False
top_category_A,subbranch_code_B03.110,1,node_1,node_2,False
top_category_A,subbranch_code_B05.110,1,node_1,node_8,False
top_category_A,subbranch_code_B05.500,5,node_1,node_5,False
top_category_A,subbranch_code_B05.550,1,node_1,node_7,False
top_category_A,subbranch_code_B05.775,9,node_1,node_10,False
top_category_A,subbranch_code_C04.697,1,node_1,node_5,False
top_category_A,subbranch_code_C04.834,1,node_1,node_8,False
top_category_A,subbranch_code_C06.198,1,node_1,node_4,False
top_category_A,subbranch_code_C06.405,2,node_1,node_7,False
top_category_A,subbranch_code_C07.793,3,node_1,node_8,False
top_category_A,subbranch_code_C12.050,1,node_1,node_8,False
top_category_A,subbranch_code_C12.100,1,node_1,node_9,False
top_category_A,subbranch_code_C16.131,1,node_1,node_6,False
top_category_A,subbranch_code_C17.300,2,node_1,node_1,True
top_category_A,subbranch_code_C17.800,1,node_1,node_2,False
top_category_A,subbranch_code_C23.149,2,node_1,node_10,False
top_category_A,subbranch_code_C23.300,2,node_1,node_1,True
top_category_A,subbranch_code_C23.550,9,node_1,node_2,False
top_category_A,subbranch_code_D05.500,2,node_1,node_10,False
top_category_A,subbranch_code_D05.750,1,node_1,node_1,True
top_category_A,subbranch_code_D08.811,1,node_1,node_1,True
top_category_A,subbranch_code_D09.400,1,node_1,node_7,False
top_category_A,subbranch_code_D12.776,13,node_1,node_5,False
top_category_A,subbranch_code_D20.215,2,node_1,node_8,False
top_category_A,subbranch_code_D20.888,1,node_1,node_1,True
top_category_A,subbranch_code_D23.946,1,node_1,node_8,False
top_category_A,subbranch_code_D25.130,1,node_1,node_1,True
top_category_A,subbranch_code_D27.720,1,node_1,node_1,True
top_category_A,subbranch_code_E01.370,2,node_1,node_10,False
top_category_A,subbranch_code_E05.200,1,node_1,node_9,False
