descriptor_ui,replication_count,nodes
D000311,2,"node_1,node_2"
D000312,8,"node_10,node_2,node_3,node_4,node_5,node_6,node_7,node_8"
D000313,2,"node_1,node_2"
D000314,3,"node_3,node_4,node_7"
D000315,2,"node_5,node_7"
D000316,3,"node_1,node_10,node_4"
D000317,3,"node_1,node_10,node_4"
D000318,3,"node_1,node_10,node_4"
D000319,3,"node_1,node_10,node_4"
D000320,5,"node_1,node_2,node_3,node_4,node_7"
D000322,3,"node_1,node_10,node_4"
D000323,4,"node_4,node_7,node_8,node_9"
D000324,4,"node_1,node_4,node_5,node_6"
D000325,2,"node_4,node_5"
D000326,6,"node_10,node_3,node_4,node_5,node_7,node_8"
D000327,3,"node_3,node_4,node_7"
D000328,2,"node_10,node_3"
D000329,5,"node_1,node_10,node_2,node_5,node_9"
D000330,2,"node_2,node_8"
D000331,2,"node_4,node_5"
D000332,5,"node_10,node_2,node_4,node_5,node_7"
D000333,2,"node_10,node_2"
D000334,2,"node_2,node_3"
D000335,3,"node_10,node_4,node_7"
D000336,4,"node_10,node_4,node_7,node_9"
D000337,3,"node_1,node_7,node_8"
D000338,4,"node_10,node_4,node_7,node_8"
D000339,3,"node_4,node_6,node_9"
D000341,3,"node_1,node_4,node_6"
D000342,3,"node_1,node_6,node_9"
D000343,4,"node_2,node_3,node_6,node_7"
D000344,2,"node_1,node_4"
D000345,2,"node_1,node_4"
D000346,3,"node_1,node_6,node_8"
D000347,4,"node_3,node_4,node_5,node_8"
D000348,4,"node_4,node_7,node_8,node_9"
D000349,3,"node_1,node_4,node_6"
D000350,3,"node_1,node_4,node_6"
D000351,3,"node_1,node_4,node_6"
D000352,3,"node_1,node_4,node_6"
D000353,3,"node_1,node_4,node_6"
D000354,3,"node_1,node_4,node_6"
D000355,5,"node_1,node_10,node_3,node_4,node_9"
D000356,3,"node_1,node_2,node_3"
D000357,5,"node_1,node_10,node_3,node_4,node_9"
D000358,3,"node_1,node_2,node_3"
D000359,4,"node_2,node_3,node_4,node_5"
D000360,5,"node_10,node_6,node_7,node_8,node_9"
D000361,4,"node_3,node_4,node_5,node_9"
D000362,3,"node_10,node_3,node_4"
D000363,3,"node_2,node_3,node_8"
D000364,3,"node_2,node_3,node_8"
D000365,3,"node_10,node_2,node_5"
D000366,7,"node_10,node_2,node_3,node_5,node_6,node_7,node_8"
D000367,4,"node_3,node_4,node_5,node_6"
D000368,2,"node_10,node_3"
D000369,2,"node_10,node_3"
D000370,4,"node_10,node_2,node_3,node_4"
