fragment_1,scheme_1,value_1,fragment_2,scheme_2,value_2,overlap_size,overlap_descriptor_ids
top_category_N,top_category,N,subbranch_code_E02.831,subbranch_code,E02.831,1,D000203
top_category_N,top_category,N,subbranch_code_E05.318,subbranch_code,E05.318,1,D000206
top_category_N,top_category,N,subbranch_code_G01.750,subbranch_code,G01.750,1,D000016
top_category_N,top_category,N,subbranch_code_I03.050,subbranch_code,I03.050,1,D000203
top_category_N,top_category,N,subbranch_code_N02.278,subbranch_code,N02.278,2,"D000046,D000289"
top_category_N,top_category,N,subbranch_code_N02.421,subbranch_code,N02.421,1,D000203
top_category_N,top_category,N,subbranch_code_N03.219,subbranch_code,N03.219,2,"D000066,D000067"
top_category_N,top_category,N,subbranch_code_N03.540,subbranch_code,N03.540,1,D000047
top_category_N,top_category,N,subbranch_code_N03.706,subbranch_code,N03.706,1,D000068
top_category_N,top_category,N,subbranch_code_N04.452,subbranch_code,N04.452,1,D000289
top_category_N,top_category,N,subbranch_code_N05.700,subbranch_code,N05.700,1,D000068
top_category_N,top_category,N,subbranch_code_N05.715,subbranch_code,N05.715,1,D000206
top_category_N,top_category,N,subbranch_code_N06.850,subbranch_code,N06.850,9,"D000016,D000056,D000058,D000059,D000060,D000061,D000062,D000063,D000206"
branch_code_A01,branch_code,A01,subbranch_code_A01.923,subbranch_code,A01.923,1,D000005
branch_code_A02,branch_code,A02,subbranch_code_A02.633,subbranch_code,A02.633,1,D000009
branch_code_A02,branch_code,A02,subbranch_code_A02.835,subbranch_code,A02.835,3,"D000077,D000173,D000174"
branch_code_A02,branch_code,A02,subbranch_code_A02.880,subbranch_code,A02.880,1,D000125
branch_code_A04,branch_code,A04,subbranch_code_A04.623,subbranch_code,A04.623,1,D000234
branch_code_A04,branch_code,A04,subbranch_code_A10.549,subbranch_code,A10.549,1,D000234
branch_code_A04,branch_code,A04,subbranch_code_A14.724,subbranch_code,A14.724,1,D000234
branch_code_A04,branch_code,A04,subbranch_code_A15.382,subbranch_code,A15.382,1,D000234
branch_code_A05,branch_code,A05,subbranch_code_A05.360,subbranch_code,A05.360,2,"D000177,D000290"
branch_code_A05,branch_code,A05,subbranch_code_A11.284,subbranch_code,A11.284,1,D000177
branch_code_A05,branch_code,A05,subbranch_code_A11.497,subbranch_code,A11.497,1,D000177
branch_code_A06,branch_code,A06,subbranch_code_A06.300,subbranch_code,A06.300,3,"D000302,D000311,D000313"
branch_code_A08,branch_code,A08,subbranch_code_A08.800,subbranch_code,A08.800,3,"D000010,D000055,D000159"
branch_code_A10,branch_code,A10,subbranch_code_A04.623,subbranch_code,A04.623,1,D000234
branch_code_A10,branch_code,A10,subbranch_code_A10.165,subbranch_code,A10.165,2,"D000153,D000273"
branch_code_A10,branch_code,A10,subbranch_code_A10.549,subbranch_code,A10.549,1,D000234
branch_code_A10,branch_code,A10,subbranch_code_A14.724,subbranch_code,A14.724,1,D000234
branch_code_A10,branch_code,A10,subbranch_code_A15.382,subbranch_code,A15.382,1,D000234
branch_code_A10,branch_code,A10,subbranch_code_C17.300,subbranch_code,C17.300,1,D000153
